index,source_url,video_id,canonical_url,user_start_line,user_end_line,gemini_start_line,gemini_end_line,response_file,response_url_mentions
1,Https://youtu.be/MPrsqdDKlis?si=cwuFWyZN8QGAdRuO,MPrsqdDKlis,https://www.youtube.com/watch?v=MPrsqdDKlis,4,259,261,284,responses/001-MPrsqdDKlis.md,
2,https://youtu.be/udCe_tvhBWc?si=1o1lPOhFsTN0KuC-,udCe_tvhBWc,https://www.youtube.com/watch?v=udCe_tvhBWc,286,543,545,574,responses/002-udCe_tvhBWc.md,https://youtu.be/udCe_tvhBWc?si=1o1lPOhFsTN0KuC-
3,Https://youtu.be/BjimpUpqPtY?si=2-wj50C0mrbS00VR,BjimpUpqPtY,https://www.youtube.com/watch?v=BjimpUpqPtY,576,831,833,861,responses/003-BjimpUpqPtY.md,
4,https://youtu.be/GB-lsKRiFoI?si=voOBEkB__1vDvPIU,GB-lsKRiFoI,https://www.youtube.com/watch?v=GB-lsKRiFoI,863,1120,1122,1149,responses/004-GB-lsKRiFoI.md,
5,Https://youtu.be/QptwxcByzTI?si=YFBwsh1v7IwRL9xt,QptwxcByzTI,https://www.youtube.com/watch?v=QptwxcByzTI,1151,1406,1408,1440,responses/005-QptwxcByzTI.md,
6,Https://youtu.be/WIXJrdjG8RY?si=bY9HnzlJPiuYWG0l,WIXJrdjG8RY,https://www.youtube.com/watch?v=WIXJrdjG8RY,1442,1697,1699,1726,responses/006-WIXJrdjG8RY.md,
7,https://youtu.be/X-KzyPRdcmc?si=SoPTzNG84jMX8QE2,X-KzyPRdcmc,https://www.youtube.com/watch?v=X-KzyPRdcmc,1728,1985,1987,2019,responses/007-X-KzyPRdcmc.md,
8,Https://youtu.be/lztG2TjPHhI?si=5SdEeY5_iAb1-VG0,lztG2TjPHhI,https://www.youtube.com/watch?v=lztG2TjPHhI,2057,2312,2314,2348,responses/008-lztG2TjPHhI.md,http://www.youtube.com/watch?v=lztG2TjPHhI
9,Https://www.youtube.com/live/vW7Jc8Xz6Lc?si=tCkQACoqhv5sgktU,vW7Jc8Xz6Lc,https://www.youtube.com/watch?v=vW7Jc8Xz6Lc,2386,2641,2643,2686,responses/009-vW7Jc8Xz6Lc.md,http://www.youtube.com/watch?v=vW7Jc8Xz6Lc
10,Https://youtu.be/WDIxi90DagY?si=t0Xy4wIXucU6V9U4,WDIxi90DagY,https://www.youtube.com/watch?v=WDIxi90DagY,2688,2943,2945,2974,responses/010-WDIxi90DagY.md,http://www.youtube.com/watch?v=WDIxi90DagY
11,Https://youtu.be/cYZFAr9fHDQ?si=IYLUq0Sjx_ALN0Z9,cYZFAr9fHDQ,https://www.youtube.com/watch?v=cYZFAr9fHDQ,2976,3231,3233,3271,responses/011-cYZFAr9fHDQ.md,http://www.youtube.com/watch?v=cYZFAr9fHDQ
12,https://youtu.be/YYtoxKoMW0o?si=EfnnwNAegq2BUd45,YYtoxKoMW0o,https://www.youtube.com/watch?v=YYtoxKoMW0o,3273,3530,3532,3571,responses/012-YYtoxKoMW0o.md,http://www.youtube.com/watch?v=YYtoxKoMW0o
13,Https://youtu.be/wvupyiFq1Js?si=i5qWf_I5-47cRnlC,wvupyiFq1Js,https://www.youtube.com/watch?v=wvupyiFq1Js,3573,3828,3830,3868,responses/013-wvupyiFq1Js.md,http://www.youtube.com/watch?v=wvupyiFq1Js
14,https://youtu.be/5LMW0hUtBwo?si=_5cXF3kZY5zb1a68,5LMW0hUtBwo,https://www.youtube.com/watch?v=5LMW0hUtBwo,3870,4127,4129,4156,responses/014-5LMW0hUtBwo.md,
15,Https://youtu.be/tAhJkMi_V2Y?si=gPwcfyCPJx1yLQPr,tAhJkMi_V2Y,https://www.youtube.com/watch?v=tAhJkMi_V2Y,4158,4413,4415,4447,responses/015-tAhJkMi_V2Y.md,
16,https://youtu.be/OfMAtaocvJw?si=9SZP0eBTtAIQN23H,OfMAtaocvJw,https://www.youtube.com/watch?v=OfMAtaocvJw,4449,4706,4708,4737,responses/016-OfMAtaocvJw.md,http://www.youtube.com/watch?v=OfMAtaocvJw
17,Https://youtu.be/JRb982Y0YM0?si=Z8dXdsyXeUk-HblG,JRb982Y0YM0,https://www.youtube.com/watch?v=JRb982Y0YM0,4739,4994,4996,5030,responses/017-JRb982Y0YM0.md,Https://youtu.be/JRb982Y0YM0?si=Z8dXdsyXeUk-HblG | http://www.youtube.com/watch?v=JRb982Y0YM0
18,Https://youtu.be/SU5k4TpDYfM?si=u-kimBIaa6285j3E,SU5k4TpDYfM,https://www.youtube.com/watch?v=SU5k4TpDYfM,5032,5287,5289,5321,responses/018-SU5k4TpDYfM.md,
19,https://youtu.be/1JWOIruPYjQ?si=qUMqVtAMTWMAfPZ_,1JWOIruPYjQ,https://www.youtube.com/watch?v=1JWOIruPYjQ,5323,5580,5582,5609,responses/019-1JWOIruPYjQ.md,
20,https://youtu.be/cgGGAY3FD-c?si=xesBrtKkAN_GdMKQ,cgGGAY3FD-c,https://www.youtube.com/watch?v=cgGGAY3FD-c,5611,5868,5870,5898,responses/020-cgGGAY3FD-c.md,
21,Https://youtu.be/tUN3VcLaICk?si=ak1FMUfOxNu-gbl9,tUN3VcLaICk,https://www.youtube.com/watch?v=tUN3VcLaICk,5900,6157,6159,6191,responses/021-tUN3VcLaICk.md,
22,https://youtu.be/MfI_NVLX--8?si=keM56ZMBAm63KbWP,MfI_NVLX--8,https://www.youtube.com/watch?v=MfI_NVLX--8,6193,6450,6452,6493,responses/022-MfI_NVLX--8.md,
23,Https://youtu.be/leA3tvbnGkg?si=xb7fQAnl5fcRRJZB,leA3tvbnGkg,https://www.youtube.com/watch?v=leA3tvbnGkg,6495,6750,6752,6786,responses/023-leA3tvbnGkg.md,http://www.youtube.com/watch?v=leA3tvbnGkg
24,https://youtu.be/0bMlifFFwHQ?si=iScnFvXysoqwOaNn,0bMlifFFwHQ,https://www.youtube.com/watch?v=0bMlifFFwHQ,6788,7045,7047,7079,responses/024-0bMlifFFwHQ.md,
25,Https://www.youtube.com/live/oDXKUwVI7Y4?si=wdcJWSEu0uT7zEd4,oDXKUwVI7Y4,https://www.youtube.com/watch?v=oDXKUwVI7Y4,7081,7336,7338,7370,responses/025-oDXKUwVI7Y4.md,
26,Https://youtu.be/ZF7fP2NXFo8?si=Jet6gBQDodsQsIxG,ZF7fP2NXFo8,https://www.youtube.com/watch?v=ZF7fP2NXFo8,7372,7627,7629,7663,responses/026-ZF7fP2NXFo8.md,http://www.youtube.com/watch?v=ZF7fP2NXFo8
27,https://youtu.be/GwEjuhpo26o?si=TcPefEr9L8nivLwH,GwEjuhpo26o,https://www.youtube.com/watch?v=GwEjuhpo26o,7665,7922,7924,7951,responses/027-GwEjuhpo26o.md,
28,Https://youtu.be/BFAuvoOxnNs?si=gRvEFB00r6gdOHSY,BFAuvoOxnNs,https://www.youtube.com/watch?v=BFAuvoOxnNs,7953,8208,8210,8237,responses/028-BFAuvoOxnNs.md,
29,Https://youtu.be/40QPJIUqCGE?si=xuFLcIyjg_mqRtYj,40QPJIUqCGE,https://www.youtube.com/watch?v=40QPJIUqCGE,8239,8494,8496,8535,responses/029-40QPJIUqCGE.md,
30,https://youtu.be/olUQ28tFdfM?si=qaMU-pCbm-RCNAIS,olUQ28tFdfM,https://www.youtube.com/watch?v=olUQ28tFdfM,8537,8794,8796,8835,responses/030-olUQ28tFdfM.md,http://www.youtube.com/watch?v=olUQ28tFdfM
31,https://youtu.be/iR4uJqoTgys?si=do3sCQNRyBbuS6ds,iR4uJqoTgys,https://www.youtube.com/watch?v=iR4uJqoTgys,8837,9094,9096,9125,responses/031-iR4uJqoTgys.md,http://www.youtube.com/watch?v=iR4uJqoTgys
32,Https://youtu.be/bpc0QOAohl8?si=6wcgE_YIH90f425p,bpc0QOAohl8,https://www.youtube.com/watch?v=bpc0QOAohl8,9127,9382,9384,9423,responses/032-bpc0QOAohl8.md,http://www.youtube.com/watch?v=bpc0QOAohl8
33,Https://youtu.be/kNdjLf4f0uU?si=OBo-4b8HTs56gspe,kNdjLf4f0uU,https://www.youtube.com/watch?v=kNdjLf4f0uU,9425,9680,9682,9716,responses/033-kNdjLf4f0uU.md,http://www.youtube.com/watch?v=kNdjLf4f0uU
34,Https://youtu.be/D-lx-MBL2ag?si=wna0PDN6TauypXQd,D-lx-MBL2ag,https://www.youtube.com/watch?v=D-lx-MBL2ag,9718,9973,9975,10009,responses/034-D-lx-MBL2ag.md,http://www.youtube.com/watch?v=D-lx-MBL2ag
35,Https://youtu.be/vU11bWLmI10?si=H71Rw_-DK_HVNTb5,vU11bWLmI10,https://www.youtube.com/watch?v=vU11bWLmI10,10011,10266,10268,10309,responses/035-vU11bWLmI10.md,http://www.youtube.com/watch?v=vU11bWLmI10
36,Https://youtu.be/UyYiTLH2_Gk?si=8voybN9RFVfONMOa,UyYiTLH2_Gk,https://www.youtube.com/watch?v=UyYiTLH2_Gk,10311,10566,10568,10602,responses/036-UyYiTLH2_Gk.md,http://www.youtube.com/watch?v=UyYiTLH2_Gk
37,Https://youtu.be/3jCx4SseGrI?si=yuFqRaJxoCcYpjQL,3jCx4SseGrI,https://www.youtube.com/watch?v=3jCx4SseGrI,10604,10859,10861,10890,responses/037-3jCx4SseGrI.md,http://www.youtube.com/watch?v=3jCx4SseGrI
38,Https://youtu.be/4Hxmji2YUiY?si=Bw7m6XsfKS-8hGj8,4Hxmji2YUiY,https://www.youtube.com/watch?v=4Hxmji2YUiY,10892,11147,11149,11187,responses/038-4Hxmji2YUiY.md,http://www.youtube.com/watch?v=4Hxmji2YUiY
39,Https://youtu.be/pfueePjOGe4?si=vrTKoYcBp28IS6OX,pfueePjOGe4,https://www.youtube.com/watch?v=pfueePjOGe4,11189,11444,11446,11475,responses/039-pfueePjOGe4.md,http://www.youtube.com/watch?v=pfueePjOGe4
40,Https://youtu.be/a__VXK4IxcM?si=nbjFup9ytZSWNjet,a__VXK4IxcM,https://www.youtube.com/watch?v=a__VXK4IxcM,11477,11732,11734,11770,responses/040-a__VXK4IxcM.md,
41,Https://youtu.be/DJAJf27PKaA?si=qmav6Jz5_NYEpCfI,DJAJf27PKaA,https://www.youtube.com/watch?v=DJAJf27PKaA,11772,12027,12029,12072,responses/041-DJAJf27PKaA.md,http://www.youtube.com/watch?v=DJAJf27PKaA
42,Https://youtu.be/9xSeP3gDbKg?si=UECGi-Ac7DSi-Dv4,9xSeP3gDbKg,https://www.youtube.com/watch?v=9xSeP3gDbKg,12074,12329,12331,12365,responses/042-9xSeP3gDbKg.md,Https://youtu.be/9xSeP3gDbKg?si=UECGi-Ac7DSi-Dv4
43,Https://youtu.be/LMGJUhWg3hI?si=rduiLzVw5lmkEn_8,LMGJUhWg3hI,https://www.youtube.com/watch?v=LMGJUhWg3hI,12367,12622,12624,12658,responses/043-LMGJUhWg3hI.md,Https://youtu.be/LMGJUhWg3hI?si=rduiLzVw5lmkEn_8
44,Https://youtu.be/mN81VSMwacg?si=vCBIELOdtetCu5tU,mN81VSMwacg,https://www.youtube.com/watch?v=mN81VSMwacg,12660,12915,12917,12960,responses/044-mN81VSMwacg.md,Https://youtu.be/mN81VSMwacg?si=vCBIELOdtetCu5tU
45,Https://www.youtube.com/live/fiWgPnLU7eg?si=byBuPbryogn4f8P2,fiWgPnLU7eg,https://www.youtube.com/watch?v=fiWgPnLU7eg,12962,13217,13219,13257,responses/045-fiWgPnLU7eg.md,Https://www.youtube.com/live/fiWgPnLU7eg?si=byBuPbryogn4f8P2
46,Https://youtu.be/4iWFyGD-zvk?si=2ZOtOl1-bj3R2U6E,4iWFyGD-zvk,https://www.youtube.com/watch?v=4iWFyGD-zvk,13259,13514,13516,13545,responses/046-4iWFyGD-zvk.md,http://www.youtube.com/watch?v=4iWFyGD-zvk
47,Https://youtu.be/7iD6n9bRZns?si=1EoESWK5_FditMbg,7iD6n9bRZns,https://www.youtube.com/watch?v=7iD6n9bRZns,13547,13802,13804,13838,responses/047-7iD6n9bRZns.md,http://www.youtube.com/watch?v=7iD6n9bRZns
48,Https://youtu.be/ThFq87Rp21s?si=pvIWLGkIjVyzzdXB,ThFq87Rp21s,https://www.youtube.com/watch?v=ThFq87Rp21s,13840,14095,14097,14135,responses/048-ThFq87Rp21s.md,Https://youtu.be/ThFq87Rp21s?si=pvIWLGkIjVyzzdXB
49,Https://youtu.be/PygUK16aQgk?si=gPt_aJcqKwvwUket,PygUK16aQgk,https://www.youtube.com/watch?v=PygUK16aQgk,14137,14392,14394,14428,responses/049-PygUK16aQgk.md,http://www.youtube.com/watch?v=PygUK16aQgk
50,Https://youtu.be/HqXiQ0aVgf8?si=ra7RGjOJTgl38jVK,HqXiQ0aVgf8,https://www.youtube.com/watch?v=HqXiQ0aVgf8,14430,14685,14687,14715,responses/050-HqXiQ0aVgf8.md,http://www.youtube.com/watch?v=HqXiQ0aVgf8
51,Https://youtu.be/AXFeFZGP7K8?si=0hB0hmWXhBkPmewq,AXFeFZGP7K8,https://www.youtube.com/watch?v=AXFeFZGP7K8,14717,14972,14974,15015,responses/051-AXFeFZGP7K8.md,Https://youtu.be/AXFeFZGP7K8?si=0hB0hmWXhBkPmewq
52,Https://youtu.be/VkBuSaG9uOw?si=Y1-YS51o6C7of3c-,VkBuSaG9uOw,https://www.youtube.com/watch?v=VkBuSaG9uOw,15017,15272,15274,15308,responses/052-VkBuSaG9uOw.md,Https://youtu.be/VkBuSaG9uOw?si=Y1-YS51o6C7of3c-
53,Https://youtu.be/kYVe0cNQxZQ?si=ldE61oA6CLYSib96,kYVe0cNQxZQ,https://www.youtube.com/watch?v=kYVe0cNQxZQ,15310,15565,15567,15608,responses/053-kYVe0cNQxZQ.md,Https://youtu.be/kYVe0cNQxZQ?si=ldE61oA6CLYSib96
54,,,,15610,16051,16053,16087,responses/054-no-video-054.md,
55,Https://youtu.be/p6OwIIDZuso?si=B4UN2yVZWWALwMWm,p6OwIIDZuso,https://www.youtube.com/watch?v=p6OwIIDZuso,16089,16344,16346,16385,responses/055-p6OwIIDZuso.md,
56,Https://youtu.be/U_ZYwHqkWiA?si=rLlaJSd-S53eLmor,U_ZYwHqkWiA,https://www.youtube.com/watch?v=U_ZYwHqkWiA,16387,16642,16644,16683,responses/056-U_ZYwHqkWiA.md,http://www.youtube.com/watch?v=U_ZYwHqkWiA
